user_id,age,gender,pref_Electronics,pref_Fashion,pref_Home & Kitchen,pref_Books,pref_Beauty,pref_Sports,pref_Toys,pref_Grocery,pref_Automotive,pref_Music
U0000,28,M,0.10245376543506693,0.038575450475701184,5.4300015183839204e-05,9.076904651853124e-05,0.11019324665297382,0.5204653360564347,0.07339150245380677,0.07230806044759584,0.04152872159986333,0.04093884781685515
U0001,51,M,0.08573369302558995,0.12521755812023133,0.10107774295724666,0.01171755599723887,0.37166746187243604,0.03620619800669542,0.027364575722532338,0.013472574239474936,0.1430170993438643,0.08452554071469008
U0002,53,M,0.06662473554839991,0.43942191774540834,0.09451011867440039,0.007993556009830273,0.025745332518774262,0.019259972697553685,0.054411865046829086,0.1344534645063015,0.08400581568287098,0.07357322156963152
U0003,53,M,0.40470561018155626,0.06083868116256697,0.02057207967675101,0.0018625893777673094,5.576789734767408e-07,5.9784528235421125e-05,0.09238696276552369,0.0905004976001568,0.3260339252072964,0.003039311821172673
U0004,33,M,0.05593565859044021,0.43908296848158573,0.020318538562790218,0.003742216042573648,0.00431508389003743,0.12244117472371614,0.029430014488183966,0.20643151046384672,0.06337713883927622,0.05492569591755001
U0005,36,M,0.43884844841710435,0.05145124128626586,0.08843678074893702,0.15787098221158868,0.015576199284974758,0.03929627741686802,0.014112991428004063,0.09501714911637629,0.006328451840845128,0.09306147824903603
U0006,37,M,0.05311891031852986,0.025245047891330794,0.0011468711718205808,0.007832893460067401,0.00679691937149771,0.009458581975881416,0.3075686814558565,0.03890622766840079,0.5489042045495698,0.0010216621370452775
U0007,58,F,0.007164744182689882,0.06348460455353623,0.35562940300365214,0.07583484399786988,0.15811411265357256,0.17399737983951072,0.0037180984705461194,0.001913018420233667,0.15527980043636175,0.004863994442026874
U0008,60,F,0.12430951048416723,0.01738332856129131,0.002335103110256272,0.0032534992173875563,0.041387130867932796,0.2199307373419043,0.4406025481800571,0.009365652115660027,0.02496168123586871,0.11647080888547474
U0009,37,M,0.011641406792779191,0.0014268748620479093,0.009110302286818481,0.01837801194177836,0.16707099672299397,0.3285452874710287,0.023367714837888298,0.028588448431614788,0.22084806905017268,0.19102288760287772
