user_id,product_id,rating,timestamp
U0027,P0027,5.0,1780697530
U0046,P0121,5.0,1777261623
U0042,P0190,4.5,1780238444
U0107,P0173,4.6,1776306647
U0049,P0055,3.5,1778927706
U0273,P0049,5.0,1780150649
U0165,P0252,4.4,1783685966
U0194,P0164,4.5,1781716672
U0222,P0324,3.8,1781931799
U0163,P0195,5.0,1779172679
U0241,P0126,3.3,1778642846
U0035,P0396,5.0,1778793499
U0215,P0175,4.4,1780162398
U0209,P0325,3.9,1783017893
U0051,P0057,4.3,1781921013
U0280,P0379,4.7,1780846372
U0104,P0276,4.1,1777837777
U0240,P0146,5.0,1777242497
U0121,P0322,3.9,1776697458
U0015,P0102,4.4,1781759808
U0260,P0119,3.3,1778426027
U0158,P0306,3.4,1780644733
U0276,P0029,5.0,1783224085
U0256,P0112,3.8,1776613525
U0001,P0139,5.0,1777777504
U0176,P0264,5.0,1778994460
U0157,P0054,5.0,1776671173
U0016,P0177,3.3,1777773829
U0202,P0337,5.0,1778912757
U0008,P0129,5.0,1776491836
U0041,P0310,4.5,1777352003
U0163,P0068,5.0,1778381488
U0254,P0274,4.0,1776684201
U0011,P0209,3.8,1777902674
U0273,P0260,5.0,1779215625
U0256,P0385,5.0,1780197882
U0181,P0050,4.7,1778958577
U0215,P0499,3.9,1781248707
U0252,P0354,4.8,1776238142
U0122,P0180,5.0,1781464576
U0101,P0160,4.2,1776124168
U0033,P0306,4.9,1779042801
U0238,P0054,5.0,1782209956
U0074,P0316,3.4,1778612098
U0163,P0400,3.9,1776817771
U0065,P0267,4.6,1783675250
U0083,P0088,4.6,1776266412
U0021,P0122,5.0,1782800929
U0264,P0354,5.0,1778848151
U0045,P0119,4.9,1781933830
U0153,P0144,5.0,1775995072
U0170,P0019,5.0,1779318325
U0255,P0376,4.6,1777256835
U0061,P0312,4.3,1776728153
U0087,P0492,4.8,1776288774
U0179,P0382,5.0,1777316227
U0111,P0416,4.4,1775979149
U0184,P0423,3.9,1780298123
U0187,P0495,5.0,1776307241
U0142,P0157,3.9,1781516938
U0090,P0283,4.0,1779531023
U0193,P0152,5.0,1776670644
U0174,P0445,4.2,1779357176
U0102,P0397,3.6,1778954106
U0290,P0407,5.0,1778126585
U0154,P0077,5.0,1781552017
U0279,P0084,3.3,1781149226
U0288,P0054,5.0,1783463393
U0209,P0092,4.7,1780005261
U0197,P0041,4.2,1777777438
U0108,P0284,4.1,1780106151
U0178,P0494,3.3,1783385011
U0098,P0092,4.8,1782598427
U0252,P0382,5.0,1780861935
U0118,P0223,5.0,1779357131
U0047,P0278,4.9,1780042077
U0139,P0419,5.0,1776119131
U0078,P0070,3.6,1778570320
U0253,P0087,4.8,1783370522
U0163,P0451,5.0,1783190447
U0172,P0224,3.6,1777764605
U0245,P0444,2.9,1779676931
U0171,P0168,5.0,1782833470
U0180,P0262,4.9,1782541847
U0040,P0419,5.0,1780826191
U0251,P0075,5.0,1781457077
U0050,P0281,3.7,1778350009
U0012,P0396,4.4,1782835151
U0164,P0307,5.0,1783647613
U0181,P0337,4.0,1779833869
U0160,P0465,4.2,1781628162
U0114,P0357,4.3,1776815545
U0122,P0396,5.0,1778829214
U0273,P0240,5.0,1782503843
U0106,P0401,4.7,1780901141
U0009,P0004,3.2,1783581793
U0281,P0241,4.8,1780975925
U0084,P0076,4.6,1783550886
U0081,P0312,4.4,1782416957
U0184,P0204,4.0,1777450532
U0240,P0169,4.8,1776859642
U0048,P0283,4.3,1776769608
U0135,P0168,4.9,1779935788
U0143,P0387,4.9,1778137090
U0124,P0328,4.6,1776666199
U0144,P0354,5.0,1779193395
U0103,P0112,5.0,1779238032
U0052,P0010,5.0,1776006250
U0124,P0062,4.5,1778127077
U0066,P0444,4.5,1779367563
U0161,P0246,5.0,1778413948
U0298,P0199,2.9,1781381379
U0220,P0335,5.0,1776991390
U0052,P0237,5.0,1781026865
U0181,P0440,3.6,1781037047
U0185,P0198,4.5,1778094485
U0194,P0208,5.0,1778917633
U0153,P0214,4.8,1777027100
U0261,P0351,5.0,1777371872
U0007,P0081,4.5,1781325347
U0165,P0427,4.2,1778947454
U0028,P0283,4.0,1781839774
U0144,P0174,4.1,1779220496
U0055,P0042,3.5,1776816523
U0156,P0040,3.8,1780040683
